"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 250","23 Sep 2026","18290.25","18418.4","18290.05","18411.40"
"NIFTY SMALLCAP 250","22 Sep 2026","18327.05","18361.35","18229.9","18260.60"
"NIFTY SMALLCAP 250","21 Sep 2026","18316.6","18357.25","18253.75","18279.05"
"NIFTY SMALLCAP 250","18 Sep 2026","18040.35","18307.9","18040.15","18287.40"
"NIFTY SMALLCAP 250","17 Sep 2026","17842.7","18047.1","17837.05","18009.25"
"NIFTY SMALLCAP 250","16 Sep 2026","17878.75","17915.45","17524.4","17863.30"
"NIFTY SMALLCAP 250","15 Sep 2026","18409.35","18431.2","17860.3","17892.80"
"NIFTY SMALLCAP 250","11 Sep 2026","18332.05","18356.2","18160.8","18339.90"
"NIFTY SMALLCAP 250","10 Sep 2026","18436.65","18488.05","18401.15","18433.40"
"NIFTY SMALLCAP 250","09 Sep 2026","18522.1","18537.2","18422.55","18431.95"
"NIFTY SMALLCAP 250","08 Sep 2026","18508.65","18536.65","18434.45","18527.20"
"NIFTY SMALLCAP 250","07 Sep 2026","18485.5","18530.65","18442.15","18484.15"
"NIFTY SMALLCAP 250","04 Sep 2026","18496.2","18551","18469.25","18481.40"
"NIFTY SMALLCAP 250","03 Sep 2026","18344.8","18460.4","18341.3","18444.95"
"NIFTY SMALLCAP 250","02 Sep 2026","18288.5","18293.3","18153.6","18256.30"
"NIFTY SMALLCAP 250","01 Sep 2026","18398.7","18430.65","18253.6","18363.10"
"NIFTY SMALLCAP 250","31 Aug 2026","18479.85","18486.25","18270.7","18372.10"
"NIFTY SMALLCAP 250","28 Aug 2026","18471.8","18526.95","18453.25","18496.15"
"NIFTY SMALLCAP 250","27 Aug 2026","18476.5","18520.2","18415.05","18432.75"
"NIFTY SMALLCAP 250","26 Aug 2026","18409.5","18480.3","18409.05","18455.75"
"NIFTY SMALLCAP 250","25 Aug 2026","18376.75","18388.95","18296.8","18347.15"
"NIFTY SMALLCAP 250","24 Aug 2026","18454","18514.3","18363.2","18375.45"
"NIFTY SMALLCAP 250","21 Aug 2026","18397.1","18447.1","18365.8","18414.45"
"NIFTY SMALLCAP 250","20 Aug 2026","18330.95","18402.65","18321.6","18338.60"
"NIFTY SMALLCAP 250","19 Aug 2026","18363.95","18371.75","18214.2","18232.00"
"NIFTY SMALLCAP 250","18 Aug 2026","18299.3","18363.05","18297.7","18346.75"
"NIFTY SMALLCAP 250","17 Aug 2026","18287.8","18319.9","18206.8","18312.20"
"NIFTY SMALLCAP 250","14 Aug 2026","18371.25","18407.9","18265.95","18278.80"
