"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 100","23 Sep 2026","62073.3","62418.25","62063.05","62396.45"
"NIFTY MIDCAP 100","22 Sep 2026","62144.4","62260.85","61767","61963.15"
"NIFTY MIDCAP 100","21 Sep 2026","62009","62163.7","61902.4","62013.10"
"NIFTY MIDCAP 100","18 Sep 2026","61560.7","62203.25","61553.3","62191.25"
"NIFTY MIDCAP 100","17 Sep 2026","60890.7","61593.2","60850.8","61432.10"
"NIFTY MIDCAP 100","16 Sep 2026","60986","61150.4","60189.05","60874.20"
"NIFTY MIDCAP 100","15 Sep 2026","62443.8","62516.95","60875","60878.25"
"NIFTY MIDCAP 100","11 Sep 2026","61988.2","62264","61374.45","62197.20"
"NIFTY MIDCAP 100","10 Sep 2026","62548.5","62594.2","62193.1","62357.35"
"NIFTY MIDCAP 100","09 Sep 2026","62635.3","62783.2","62459.55","62592.80"
"NIFTY MIDCAP 100","08 Sep 2026","62801.2","62976.6","62580","62915.80"
"NIFTY MIDCAP 100","07 Sep 2026","63084.5","63166.6","62667.15","62786.15"
"NIFTY MIDCAP 100","04 Sep 2026","63243.75","63407.8","63063.1","63079.05"
"NIFTY MIDCAP 100","03 Sep 2026","63186.15","63253.2","62902.35","63235.20"
"NIFTY MIDCAP 100","02 Sep 2026","62988.85","63007.25","62445.15","63001.60"
"NIFTY MIDCAP 100","01 Sep 2026","64017.95","64020.15","63101.35","63334.50"
"NIFTY MIDCAP 100","31 Aug 2026","63980.4","64230.75","63347.5","64224.75"
"NIFTY MIDCAP 100","28 Aug 2026","64093.2","64234","63945.55","64069.50"
"NIFTY MIDCAP 100","27 Aug 2026","64215.7","64378","63975.1","64035.45"
"NIFTY MIDCAP 100","26 Aug 2026","64289.4","64450.9","64095.9","64101.20"
"NIFTY MIDCAP 100","25 Aug 2026","63799.5","64169.8","63602.2","64162.90"
"NIFTY MIDCAP 100","24 Aug 2026","63828.75","63990.35","63683.35","63817.25"
"NIFTY MIDCAP 100","21 Aug 2026","63726.85","63752.2","63457.95","63735.75"
"NIFTY MIDCAP 100","20 Aug 2026","63771.95","63938.85","63631.7","63671.55"
"NIFTY MIDCAP 100","19 Aug 2026","63582.1","63593","63198.4","63408.75"
"NIFTY MIDCAP 100","18 Aug 2026","63753.7","63802.3","63491.1","63539.40"
"NIFTY MIDCAP 100","17 Aug 2026","63723.1","63930.25","63505.9","63817.00"
"NIFTY MIDCAP 100","14 Aug 2026","64114.55","64139.05","63746.1","63782.15"
"NIFTY MIDCAP 100","13 Aug 2026","64013.25","64125.35","63812.55","64121.55"
"NIFTY MIDCAP 100","12 Aug 2026","63919.45","64026.2","63529.1","64024.40"
"NIFTY MIDCAP 100","11 Aug 2026","63934.05","63953.95","63586.75","63843.85"
"NIFTY MIDCAP 100","10 Aug 2026","63628.5","63986.7","63397.05","63855.70"
"NIFTY MIDCAP 100","07 Aug 2026","63254.9","63596.65","63181.5","63463.55"
"NIFTY MIDCAP 100","06 Aug 2026","63656.25","63677.7","63306.85","63326.80"
"NIFTY MIDCAP 100","05 Aug 2026","63852.15","63852.15","63442.65","63605.25"
"NIFTY MIDCAP 100","04 Aug 2026","63739.9","63740.85","63278.95","63491.60"
"NIFTY MIDCAP 100","03 Aug 2026","63235.6","63681.8","63107.55","63679.30"
"NIFTY MIDCAP 100","31 Jul 2026","62817","63072.4","62569.2","62915.30"
"NIFTY MIDCAP 100","30 Jul 2026","62782.05","62829.4","62412.45","62641.75"
"NIFTY MIDCAP 100","29 Jul 2026","62651.95","62933.55","62567.55","62862.25"
"NIFTY MIDCAP 100","28 Jul 2026","62352.9","62495.5","62202.6","62351.50"
"NIFTY MIDCAP 100","27 Jul 2026","62109.95","62356.8","62109","62303.65"
"NIFTY MIDCAP 100","24 Jul 2026","61295.45","61689.85","60898.6","61622.35"
"NIFTY MIDCAP 100","23 Jul 2026","62134.3","62285.4","61549.95","61685.00"
"NIFTY MIDCAP 100","22 Jul 2026","62966.3","62968.1","62196.05","62300.60"
"NIFTY MIDCAP 100","21 Jul 2026","62849.1","63026.1","62749.8","62987.60"
"NIFTY MIDCAP 100","20 Jul 2026","62335.75","62894.75","62249.75","62801.75"
"NIFTY MIDCAP 100","17 Jul 2026","62785.55","62786.25","62198.9","62428.05"
"NIFTY MIDCAP 100","16 Jul 2026","63130.85","63176.25","62555.35","62686.75"
"NIFTY MIDCAP 100","15 Jul 2026","62943.15","63183.35","62780.4","62943.20"
"NIFTY MIDCAP 100","14 Jul 2026","62854.2","62993.8","62602.3","62766.40"
"NIFTY MIDCAP 100","13 Jul 2026","62688.65","63101.5","62476.7","63040.95"
"NIFTY MIDCAP 100","10 Jul 2026","62636.05","63076.5","62576.6","63036.80"
